Ticker,Company,Sector,Industry,Country,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Return on Assets,Return on Equity,Return on Investment,Gross Margin,Operating Margin,Profit Margin,Performance (Quarter),Performance (Half Year),Performance (Year),Beta,Volatility (Week),Volatility (Month),50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Price
ARCC,Ares Capital Corporation,Financial,Diversified Investments,USA,9.06,10.81,1.13,5.63,1.02,23.85,,8.97%,87.10%,1.87,-17.20%,6.09%,26.00%,8.00%,29.70%,-4.00%,9.10%,6.50%,11.20%,5.50%,53.60%,49.40%,56.50%,1.62%,-3.91%,5.34%,1.05,0.63%,0.93%,-0.90%,0.00%,-5.47%,4.57%,-5.47%,7.30%,53.32,16.95
ARCP,"American Realty Capital Properties, Inc.",Financial,REIT - Diversified,USA,,,,13.96,1.05,61.82,,7.58%,,-1.67,-521.10%,6.40%,0.00%,11.40%,,77.80%,595.80%,-4.70%,-10.90%,-4.20%,89.50%,10.10%,-71.80%,9.37%,-3.86%,7.85%,,1.53%,1.60%,4.15%,3.05%,-1.05%,13.59%,-8.92%,16.99%,59.51,13.19
ARE,"Alexandria Real Estate Equities, Inc.",Financial,REIT - Office,USA,46.11,44.23,8.87,8.37,1.6,92.23,,3.63%,162.60%,1.72,63.20%,5.78%,-4.00%,5.20%,8.00%,2.60%,14.60%,1.60%,3.40%,3.10%,70.20%,32.50%,17.90%,6.46%,11.77%,33.09%,0.98,1.33%,1.26%,1.89%,11.73%,-1.66%,5.70%,-1.66%,35.68%,57.77,79.31
ARG,"Airgas, Inc.",Basic Materials,Chemicals - Major Diversified,USA,23.3,19.1,2.08,1.61,4.23,106.03,33.74,2.00%,41.50%,4.72,7.60%,13.28%,8.40%,11.18%,3.10%,3.50%,2.60%,6.20%,19.60%,9.50%,55.80%,12.30%,7.00%,4.60%,6.02%,8.26%,0.71,0.93%,1.42%,0.93%,2.63%,-1.28%,4.21%,-1.89%,11.77%,53.15,109.97
ARMK,Aramark,Services,Specialty Eateries,USA,40.73,16.52,3.22,0.42,3.51,49.65,117.31,1.15%,11.20%,0.64,-30.60%,6.62%,0.00%,12.65%,,46.20%,3.70%,1.40%,9.60%,7.40%,9.90%,3.90%,1.00%,-1.70%,-7.22%,,,1.59%,1.87%,-1.59%,-1.92%,-6.51%,4.40%,-12.54%,30.80%,41.17,26.07
ARW,"Arrow Electronics, Inc.",Services,Electronics Wholesale,USA,13.38,9.76,1.18,0.28,1.43,19.74,13.41,,0.00%,4.61,-15.60%,9.37%,22.50%,11.34%,5.00%,47.70%,7.00%,4.10%,11.20%,7.90%,13.30%,3.90%,2.10%,7.89%,10.14%,31.75%,1.81,1.16%,1.67%,2.58%,9.66%,-0.93%,7.92%,-0.93%,36.08%,64.09,61.7
ASH,Ashland Inc.,Basic Materials,Chemicals - Major Diversified,USA,17.01,14.61,1.48,1.29,1.85,14.69,26.26,1.27%,18.10%,6.31,-1.30%,21.83%,25.50%,11.46%,-1.40%,-18.90%,-1.20%,4.70%,12.40%,12.30%,29.50%,17.20%,8.80%,4.88%,14.72%,24.26%,1.33,0.99%,1.61%,1.35%,9.15%,-2.14%,9.25%,-2.14%,28.89%,60.9,107.31
ATHN,"athenahealth, Inc.",Technology,Healthcare Information Services,USA,1906.86,100.21,89.87,7.54,11.77,46.32,114.38,,0.00%,0.07,-86.00%,22.54%,-40.10%,21.22%,34.30%,82.40%,27.10%,0.50%,1.00%,1.00%,59.40%,1.40%,0.60%,10.39%,-32.79%,21.17%,1.02,2.43%,3.14%,4.10%,-4.92%,-2.08%,13.48%,-35.42%,37.18%,57.26,133.48
ATO,Atmos Energy Corporation,Utilities,Gas Utilities,USA,18.13,16.95,2.59,1.04,1.61,97.69,,2.96%,39.00%,2.76,19.50%,3.22%,4.80%,7.00%,-11.70%,25.00%,9.90%,4.30%,12.50%,6.60%,31.90%,11.90%,7.40%,0.16%,11.22%,25.67%,0.54,1.13%,1.55%,-0.55%,5.86%,-5.73%,7.78%,-5.73%,31.63%,54.45,50.04
ATVI,"Activision Blizzard, Inc.",Technology,Multimedia & Graphics Software,USA,24.61,16.11,1.48,3.87,2.31,3.95,20.12,0.86%,20.80%,0.94,-5.90%,8.62%,60.50%,16.62%,8.70%,0.00%,-7.60%,5.00%,8.60%,9.40%,65.70%,25.50%,16.50%,11.85%,18.62%,39.00%,1.02,1.17%,1.96%,2.57%,16.94%,-2.77%,8.85%,-2.77%,45.73%,55.8,23.13
AVB,Avalonbay Communities Inc.,Financial,REIT - Residential,USA,60.72,38.76,5.73,12.68,2.27,47.34,,3.02%,104.50%,2.53,-82.40%,-1.47%,-17.10%,10.60%,12.40%,336.50%,9.40%,3.50%,6.30%,0.50%,64.60%,25.80%,34.00%,10.59%,20.94%,27.00%,0.77,1.34%,1.31%,5.18%,17.11%,-1.62%,12.18%,-1.62%,36.89%,62.88,153.63
AVP,Avon Products Inc.,Consumer Goods,Personal Products,USA,,14.49,,0.66,6.53,7.59,23.99,1.69%,,-0.51,-104.80%,20.92%,-14.90%,5.83%,-1.10%,-78.90%,-12.80%,-3.50%,-21.70%,4.60%,60.70%,2.90%,-2.40%,0.57%,-6.29%,-29.24%,1.39,1.33%,2.02%,0.97%,-5.92%,-5.84%,11.14%,-37.04%,11.14%,62.74,14.16
AVT,"Avnet, Inc.",Services,Electronics Wholesale,USA,11.42,8.85,1.08,0.22,1.26,6.61,194.35,1.35%,10.50%,3.89,21.20%,8.22%,20.30%,10.60%,11.10%,46.20%,6.90%,7.20%,16.90%,9.40%,11.70%,3.20%,2.90%,3.28%,4.42%,14.19%,1.53,1.37%,1.80%,2.04%,3.69%,-2.44%,8.95%,-7.49%,18.53%,60.14,44.42
