Ticker,Company,Sector,Industry,Country,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Return on Assets,Return on Equity,Return on Investment,Gross Margin,Operating Margin,Profit Margin,Performance (Quarter),Performance (Half Year),Performance (Year),Beta,Volatility (Week),Volatility (Month),50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Price
AWK,"American Water Works Company, Inc.",Utilities,Water Utilities,USA,22.99,19.04,2.5,2.98,1.82,277.15,,2.50%,65.90%,2.16,-2.40%,7.68%,20.90%,9.20%,4.40%,-31.50%,-44.20%,2.50%,8.10%,6.30%,54.80%,32.90%,13.00%,5.01%,14.71%,22.50%,0.34,1.11%,1.61%,2.97%,11.32%,-1.31%,8.00%,-1.31%,30.61%,60.19,49.66
AXP,American Express Company,Financial,Credit Services,USA,17.09,14.72,1.78,2.62,4.63,35.19,133.27,1.17%,18.10%,5.2,25.40%,9.56%,14.60%,9.60%,1.80%,12.60%,4.20%,3.70%,28.30%,4.40%,79.30%,22.60%,15.70%,0.38%,-0.64%,21.65%,1.15,0.80%,1.29%,-3.26%,0.30%,-7.40%,3.65%,-7.40%,25.72%,47.72,88.88
AYI,"Acuity Brands, Inc.",Technology,Diversified Electronics,USA,31.81,24.93,2.45,2.28,4.62,11.23,38.38,0.43%,10.60%,3.82,8.50%,24.09%,-3.70%,13.00%,0.60%,38.40%,11.50%,10.60%,19.70%,11.60%,40.50%,12.40%,9.10%,-2.42%,-10.67%,40.33%,1.54,1.60%,1.73%,1.88%,0.01%,-12.15%,16.06%,-16.75%,45.97%,59.06,121.5
AZO,"AutoZone, Inc.",Services,Auto Parts Stores,USA,17.4,15.05,1.24,1.84,,120.59,16.5,,0.00%,30.89,18.40%,13.14%,22.60%,13.98%,7.00%,16.40%,6.10%,15.00%,-61.60%,48.10%,51.90%,19.30%,11.20%,-0.64%,-0.88%,27.63%,0.36,0.96%,1.31%,2.03%,4.90%,-0.67%,6.36%,-4.30%,31.44%,64.18,537.46
BA,The Boeing Company,Industrial Goods,Aerospace/Defense Products & Services,USA,19.2,14.97,1.85,1.04,6.61,8.11,28.37,2.29%,39.70%,6.64,16.80%,3.63%,10.30%,10.38%,7.30%,58.90%,1.10%,5.40%,38.20%,20.10%,15.20%,7.20%,5.70%,-3.15%,-0.49%,23.78%,1.12,1.01%,1.35%,1.37%,-0.99%,-4.42%,8.14%,-10.30%,26.90%,63.35,127.46
BAC,Bank of America Corporation,Financial,Money Center Banks,USA,26.02,10.75,3.25,3.2,0.76,0.27,3.73,0.25%,6.20%,0.62,260.00%,88.57%,10.80%,8.00%,-8.50%,-40.60%,-6.40%,0.30%,3.10%,7.20%,,60.20%,13.10%,9.65%,-2.30%,11.01%,1.62,1.91%,1.57%,4.36%,1.81%,-0.62%,8.69%,-10.49%,18.86%,68.62,16.13
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,USA,21.14,13.93,2.63,2.48,4.7,21.78,98.42,2.77%,55.40%,3.55,-12.40%,4.68%,3.00%,8.04%,4.30%,-11.20%,16.20%,7.60%,23.20%,11.90%,48.80%,18.50%,11.90%,1.34%,9.55%,8.11%,0.71,0.94%,1.18%,0.13%,6.11%,-2.94%,4.19%,-2.94%,22.09%,50.61,75.04
BBBY,Bed Bath & Beyond Inc.,Services,Home Furnishing Stores,USA,13.31,11.8,1.44,1.12,3.28,18.14,13.23,,0.00%,4.81,5.00%,8.31%,23.90%,9.25%,9.80%,0.00%,1.70%,15.80%,25.20%,26.00%,39.50%,13.80%,8.70%,4.35%,-2.97%,-13.93%,0.91,1.39%,1.49%,4.97%,-4.15%,-0.16%,16.50%,-20.77%,16.50%,61.81,64.03
BBT,BB&T Corporation,Financial,Regional - Southeast Banks,USA,15.43,11.78,2.88,4.24,1.25,10.89,,2.59%,37.90%,2.4,-19.30%,12.89%,-4.30%,5.35%,-2.00%,-24.70%,-6.50%,0.90%,8.50%,8.70%,,57.80%,27.50%,-1.17%,-0.46%,5.86%,1.05,0.95%,1.10%,-2.26%,-0.17%,-7.28%,3.29%,-8.57%,16.44%,50.71,37.04
BBY,"Best Buy Co., Inc.",Services,Electronics Stores,USA,10.43,12.15,0.69,0.26,2.45,3.55,15.79,2.44%,18.60%,2.99,242.40%,12.39%,-3.70%,15.13%,-1.20%,371.40%,-3.30%,8.90%,32.00%,13.10%,22.70%,3.10%,3.00%,16.20%,25.50%,-9.49%,1.87,2.42%,2.50%,3.64%,3.13%,-3.23%,10.99%,-28.98%,42.61%,59.03,31.2
BCR,CR Bard Inc.,Healthcare,Medical Instruments & Supplies,USA,15.05,15.95,1.08,3.46,6.58,11.02,10.97,0.60%,8.40%,9.77,36.20%,10.85%,15.70%,13.97%,4.50%,-80.70%,-44.90%,16.20%,42.30%,15.00%,61.20%,47.30%,24.40%,0.41%,3.51%,29.15%,0.71,1.02%,1.54%,0.69%,4.40%,-4.64%,8.41%,-4.64%,30.95%,44.63,147
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,USA,23.73,17.14,2.66,2.69,4.2,8.5,25.39,1.86%,42.30%,4.93,-12.10%,9.29%,1.80%,8.94%,3.10%,12.20%,5.10%,8.00%,18.70%,11.30%,51.40%,15.30%,11.70%,1.56%,2.66%,20.65%,0.88,0.79%,1.21%,-1.04%,3.26%,-2.86%,2.28%,-3.06%,23.29%,45.87,116.97
BEAV,B/E Aerospace Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,21.78,15.89,1.11,2.27,3.05,40.78,82.05,,0.00%,3.85,55.10%,18.43%,39.90%,19.70%,10.50%,16.90%,28.10%,6.70%,15.00%,10.70%,37.70%,17.30%,10.30%,-11.98%,0.40%,20.58%,1.5,1.06%,1.80%,-6.79%,-4.19%,-13.35%,2.93%,-17.10%,24.43%,39.2,83.84
